"reviewer","authortype","logsales_10wk_cor","logsales_total_cor","rev_sd","rev_median","median_logsale_total","median_logsale_10wk","numscore"
"crazycat690","user",0.743993283389995,0.774868023196934,1.3703203194063,8,13.1021627109011,11.6885832010819,10
"DeadshotCRYSIS","user",0.742736716942159,0.755358242271789,2.03540097839643,9,14.2201757131558,12.193186868536,15
"valber","user",0.738901406752418,0.812623660025315,1.36880472443164,9,13.2954348820592,12.3338784397021,14
"GioD.","user",0.737192636444276,0.733502213397308,1.24316312101612,8.5,12.6115410869661,11.4738415424607,12
"JohnW.","user",0.734234239420349,0.84896427221168,2.04049904769308,9,14.5763168542876,12.6441727257629,11
"mrcritic","user",0.733763928255756,0.806918937114235,2.94640775883425,9,14.7594168459764,12.6756949520817,14
"NickG.","user",0.728779246753399,0.612967868315819,1.37198868114007,8,13.9446896024212,11.6164994628677,17
"Guivera","user",0.719906394121826,0.78241577400327,2.49761791275112,8,13.7358965357037,11.9457264204323,15
"peoplewhomatter","user",0.712789469687256,0.747717788620392,2.92055547264124,7,13.8304850860546,12.8558348674832,23
"Yummyzombie","user",0.710609791238219,0.709071869443451,2.41867732448956,8,13.9723690376639,12.30408207998,16
"AaronC.","user",0.692387387675108,0.538704151325315,2.06705763652765,9,13.4838149221994,11.9159929617157,12
"skyminster","user",0.68551839833562,0.456952604120507,1.33552451531005,9,13.919871474189,12.1681578792569,19
"aqurban","user",0.676160935810134,0.671493726559951,0.650443635587991,10,13.1007028827021,11.8577296712702,13
"thejestermk2","user",0.675684691200744,0.78025895161914,1.56669890360128,6,13.9171859338696,12.2681787686895,12
"Redfordsto","user",0.675339180219175,0.520011846034608,2.7493314695416,7,13.1931151029836,11.9334426956662,17
"Adventure Gamers","critic",0.668775230723327,0.742570131205017,2.11726054320015,6,12.1007176854125,10.0210707556722,56
"logan35","user",0.668081338519017,0.677364700465077,0.668557923421521,9,13.5355040508055,12.7559263678339,12
"DrewF.","user",0.667622853789209,0.659277747800856,1.92867317598919,8,12.2759582906198,10.5689715968455,14
"Josh","user",0.664359295372785,0.474488947937771,3.8873012632302,7,12.9945322786191,11.4065978151222,10
"OnAnarchy","user",0.664038447131707,0.661965792623245,1.49853729853071,8,14.5906096867684,13.4963972448083,19
"Gamers Europe","critic",0.659315688896979,0.654348262604439,1.86289721647028,8,12.8465422071466,11.4553430122503,62
"NGC Magazine UK","critic",0.652485332363672,0.707163489221902,0.78575969650625,7.65,12.2010531594019,10.3469544335677,18
"L4DLegend91","user",0.651895277482024,0.546063550312128,1.21355975243384,9,13.5923682566493,12.7298302891073,11
"Electric Playground","critic",0.64548577344105,0.602972631612399,1.23617277235956,8,13.5985795089325,11.8041258182871,37
"Slate","user",0.643130609417011,0.620821302158675,1.50923085635624,8,13.9815283303434,12.9531581311449,10
"ChrisM.","user",0.641147791989115,0.597813749426674,3.04454114264051,9,13.6480550270205,12.4470300019708,13
"SteveT.","user",0.637823200397651,0.639290516430995,1.300349603341,8,12.9945322786191,11.4738415424607,11
"ttocs","user",0.635868559750893,0.61746755590551,2.06511643312258,8,12.5631637137676,10.6678962688523,17
"Just RPG","critic",0.63261218670682,0.639818076807671,1.29169061561376,7.8,12.6443308022626,11.2280261836278,55
"GamesNation","critic",0.63035727370666,0.587982112204735,0.872105106953578,8.2,13.5410750280511,11.8363341726191,140
"CorsairReviews","user",0.629097118832803,0.715842990530725,0.885061203156784,8,14.5821349112027,13.4683382931011,16
"skim123","user",0.626454079683448,-0.00560781908096167,1.82878222991269,6,14.352004513274,13.1494920447926,10
"CarsonRGB","user",0.626292036068207,0.673833259772048,1.12390297389803,8,14.6971052282499,13.0503092929084,19
"Churigogobashu","user",0.625318697538396,0.639418482414012,4.04519917477945,10,14.050013029577,11.1703002071454,11
"Adrenaline Vault","critic",0.624978355866972,0.688189663726214,1.05090228108783,8,13.2176753753888,11.1392351485862,14
"MEGamers","critic",0.624087399090777,0.645534544956564,1.60866723755105,8.05,13.4730216574672,11.8606625852973,504
"Game Positive","critic",0.622881358909456,0.575406051025978,1.32999511981248,7.9,14.0386229083053,12.3813331792967,98
"Gaming Horizon","critic",0.621445003706723,0.614248170170909,1.35007025171636,7.8,12.4292201968364,11.1156368381462,69
"conorbobonor","user",0.619758598569822,0.670487315439623,2.09132168104918,7,13.7321300359812,12.5303746963853,14
"Cynamite","critic",0.61881549401889,0.621936724722462,1.29832338274749,8,13.5278298188449,11.7683503227381,487
"SeanM.","user",0.616966291801265,0.670966845082448,2.98481002897855,9,12.6809387360611,11.6159679537579,12
"Old_Biff","user",0.612213895392145,0.676234214931968,2.70100991213556,8,12.8979707672436,11.9086128257644,12
"hollowfication","user",0.612024404305225,0.542931291738197,4.49831618328997,4,13.1021627109011,11.6885832010819,33
"pots555","user",0.609147380070087,0.574263157058085,0.937436866561092,9.5,13.2085008228897,12.0987591537423,12
"MondoXbox","critic",0.607456197029313,0.613935638647977,1.50117376600344,8,13.0918530885581,11.6465817548691,441
"TeamXbox","critic",0.605846977735964,0.616889300949986,1.43354002765376,8,13.038983942376,11.7575251777,825
"bighead6000","user",0.60298372966775,0.598984835485026,1.21573927222163,8,15.1984250251609,14.11855935762,14
"Console Monster","critic",0.601065957198205,0.610379407151625,1.79588062809615,7.8,13.3212158754924,11.7683503227381,855
"HellBored","critic",0.600603402966617,0.643617368250705,1.7566972168426,7.85,13.7212009773935,12.2137431518344,156
"AB","user",0.598760773621189,0.652892560884308,3.7254245232977,9,13.1993262703906,11.0136001253744,12
"Official PlayStation Magazine Benelux","critic",0.595935293300699,0.562756429684752,1.29042465518502,7.6,12.4292201968364,11.1348809524381,268
"Will","user",0.595801658524865,0.765855443966477,2.45175673979111,9,12.8338833352057,11.5914269566826,10
"Console Gameworld","critic",0.595027033205565,0.530359625378838,1.62595716284943,8,12.9945322786191,11.4479281719463,275
"Kermie","user",0.594561151830428,0.770380411478466,2.58316226217543,9,13.122165338192,11.8325839051852,11
"Parag0N","user",0.594420742811712,0.653629823319446,2.99174688945262,9.5,14.0143622363812,12.6195819785963,14
"Official Xbox Magazine","critic",0.593667343070253,0.595640276871222,1.62986890011737,7,12.6443308022626,11.349408612811,1439
"Talk Xbox","critic",0.593331926516176,0.630995278876693,1.45398969099006,8,13.5144068165308,12.112300282679,187
"Daematune","user",0.591164366555824,0.624901304352938,2.5407785333546,8,14.3223287627422,12.8611596392656,10
"Playstationguy","user",0.587793126270828,0.647348460992647,2.37315573274662,8,13.6047907612158,11.8747590800551,14
"Playstation Official Magazine Australia","critic",0.585635958527324,0.588489094258885,1.5174994079308,7,13.1615860136327,11.384364138696,527
"Official Xbox Magazine UK","critic",0.58506871333264,0.586857083817429,1.80484954639212,7,12.8212609873195,11.4585352710345,1113
"Happymonk","user",0.583163321433262,0.443349171522059,1.12288448436043,9,13.6226805307928,11.8987399228604,23
"Gamezilla!","critic",0.582504924792902,0.473982145296102,1.52457375929626,7.2,12.5425484535736,11.231795215707,103
"Zeph","user",0.581300422692577,0.573796303753602,2.29906813420444,8,13.6933280940603,12.6229346864674,36
"InsideGamer.nl","critic",0.579603940524577,0.514999761456441,1.44033114608723,7.8,13.270785106659,11.5163894584114,453
"Xbox Solution","critic",0.576455324510958,0.571421485699019,1.36551956344862,8.2,12.5776396502326,11.4480028700858,30
"PGNx Media","critic",0.575468599603124,0.547856961485889,0.804691484357849,8.7,13.1223653774023,11.5649794067411,398
"mtkuszek","user",0.575230156071597,0.469264764224393,1.510830465556,7,11.6952553550628,10.0185112291049,24
"Decemuladores","user",0.574454168316165,0.425713743091405,1.3984117975602,8.5,12.6886161887852,11.0363776739822,10
"9Lives","critic",0.57431773352607,0.55384871847065,1.00183084404686,7.8,13.4730216574672,11.6219950933568,152
"ChrisD","user",0.5734876268313,0.62058145416514,3.50324524872685,8,12.4292201968364,10.7004315267777,11
"Bit-Gamer","critic",0.573056868133847,0.734900409446062,1.44577190810183,7,14.4032977784218,13.0884611360732,13
"ActionTrip","critic",0.572166658641917,0.613517296800853,1.65635615833988,7.95,13.7850523814069,12.5367686639844,160
"CD-Action","critic",0.571789459849222,0.642342384343173,1.44020480882258,7.5,13.2445436213096,11.9489626319517,146
"watithink123","user",0.571017969941484,0.41073202842471,1.73482430943752,7,13.885392463934,12.2092371068557,40
"Ducky418","user",0.568693058056442,0.484982266246473,1.97017231413103,8,14.590238186346,12.6103503823253,20
"DavidS","user",0.568550912928266,0.496963418317568,3.03498123735734,8,14.0386549092782,12.2424142179326,10
"Gamereactor Denmark","critic",0.567196281159248,0.525421341342297,1.54634905809183,7,13.1223653774023,11.600276784173,393
"Da Gameboyz","critic",0.565961030472884,0.545299507567946,1.11695332862401,8,13.2533933941952,11.6446640013881,740
"ZTGameDomain","critic",0.565714077289523,0.574299027631391,1.34666553252177,8,12.8739045822051,11.3576858591449,1674
"PS3bloggen.se","critic",0.565686596457146,0.625005069759313,1.65514398184956,7,13.4150344839033,11.5549115816373,179
"Multiplayer.it","critic",0.56562699111679,0.560963658157583,1.2485887951445,7.8,12.9715428132484,11.2413750465947,1027
"3DJuegos","critic",0.564299554629236,0.577629468790591,1.16263784839904,7.9,13.2176753753888,11.4888581568363,1306
"Playstation: The Official Magazine (US)","critic",0.563715789934908,0.541826105446837,1.67932922562691,7,12.899222326087,11.0988465962373,896
"Everyeye.it","critic",0.563127010924374,0.533172187314368,1.38406334567272,7.5,13.0170050839663,11.3353747767902,850
"JohnJ.","user",0.562940688625105,0.463623929242628,3.13404247294484,9,13.8496678680613,12.4398080211072,10
"Hardcore Gamer Magazine","critic",0.562045720167598,0.528866363793181,1.5948956316939,8,13.1223653774023,11.3717189797453,416
"DailyGame","critic",0.560249228499746,0.590461929455289,1.40553483534725,7.85,13.1615860136327,11.5364300167671,476
"The Wiire","critic",0.558559732736185,0.509105470960027,2.52696466837743,5.8,13.038983942376,11.4903337955346,63
"MS Xbox World","critic",0.557549763787163,0.57477725657976,1.43900822952772,7.5,13.038983942376,11.5967735209608,670
"Gameplayer Sweden","critic",0.55743233788412,0.583564921712097,1.67678372206636,7,13.353476685668,11.4669652925938,118
"X360 Magazine UK","critic",0.557268214368588,0.569387435621594,1.79721670935956,7,12.9239148777019,11.5375985651751,1149
"Gamervision","critic",0.555542683135192,0.573897185013372,1.54297119778708,7.8,13.235693848424,11.5158212680823,663
"360gamer8302","user",0.552706469422414,0.408287364623032,3.57262317683189,5,11.6917710786791,10.6576655682668,11
"Planet Xbox 360","critic",0.552409648181088,0.556642427555414,1.34458604827833,8.1,13.180634172319,11.8021937786759,755
"lbaeriswyl","user",0.552099728761998,0.396775087761832,3.63901418552116,10,13.6449703218411,11.9225440685737,12
"Meristation","critic",0.550664470887143,0.550660873334698,1.33660239744229,7.5,13.1223653774023,11.4386328603884,889
"GamingTrend","critic",0.550191063204735,0.54976504415135,1.26789692956065,8.3,13.0170050839663,11.4654710404161,775
"Xbox360Achievements","critic",0.550129707372951,0.564778501091398,1.597995628626,7.7,13.2176753753888,11.7828991656411,453
"Gaming Target","critic",0.549374446064913,0.481538480505141,1.36343534062751,8.2,13.3454765277956,11.6357577951819,524
"Gameplayer","critic",0.548149219783688,0.558218469876835,1.39673511588891,8,13.4869114202269,11.8072351331211,188
"GameTrailers","critic",0.547912326236313,0.519818624385812,1.28927257988704,7.9,13.235693848424,11.700897693273,1259
"JohnL.","user",0.544573337688349,0.427181819030542,2.09364116632563,8.5,13.1608458238965,11.5281686060668,16
"VGPub","critic",0.543306015663608,0.464459234368423,1.55955651001703,7.65,12.7797766894053,11.1269889016978,126
"Nintendo Insider","critic",0.54167955245908,0.639341912468999,2.07519362263587,8,12.345838935722,10.4851164080975,14
"Gamer.nl","critic",0.541207568787744,0.528547942689899,1.62689270531072,7,13.2878795107957,11.5329143494293,1093
"RUST","user",0.540311729134844,0.628797540681079,1.82071704853459,8,12.541910295955,11.2081951440079,44
"Playstation Universe","critic",0.539752627720268,0.508169890540461,1.38231558706002,8,13.3847291803322,11.7058159731134,432
"coopers41","user",0.538747681027095,0.796525273906733,3.35477949417625,7,12.3918586478751,10.5416902242201,11
"JDConspirator","user",0.538466081203003,0.596084488491371,1.6952514713223,7,12.8479291632781,11.3795083515299,50
"thebigbusser","user",0.537409942067953,0.493049011942479,1.15470053837925,9.5,14.8124595618595,13.4037743274074,10
"EGM","critic",0.536634596405468,0.560738119260911,1.71335808699762,8,12.676079399771,11.771250814761,190
"PSFocus","critic",0.536359555304405,0.58194054401753,1.39225746445584,7.8,13.1322666714426,11.2256668956018,498
"Video Game Talk","critic",0.536208548710032,0.555157594940169,1.85001368796506,7,13.3046866008636,11.625548544253,368
"GidBix","user",0.536173905043363,0.489698335041743,1.99707388285142,7,12.7068509637411,11.4139003934924,19
"Xbox Evolved","critic",0.535798175335783,0.627559387081785,1.34148918010507,7.25,12.5945903685993,11.442423053825,60
"SteveM.","user",0.534449408199324,0.395989454197638,2.92215007125935,8.5,13.9725151614744,11.8772004552535,22
"GameFocus","critic",0.533143239510487,0.545552855866776,1.49987327920447,8,13.1223653774023,11.3701976286767,1202
"Kombo","critic",0.532548249220135,0.529081820879648,1.64657404038526,8,13.1223653774023,11.4944763213017,724
"KhristianR.","user",0.532383885119881,0.751142582736313,1.24011240937215,8,14.0828507787655,12.4766694095467,12
"ImpulseGamer","critic",0.532276977020314,0.495111645023141,1.18963723887772,8.1,13.2445436213096,11.433800448802,321
"Boomtown","critic",0.531750882082256,0.496757396283376,1.66939213957326,7,13.2533933941952,11.6203392750136,447
"Funkymonk","user",0.53166729672491,0.296378159193945,1.19769604092675,9,13.9409686152247,12.4376610773531,32
"Ali1247","user",0.530871343177256,0.631309035644225,1.91195071996,8.5,14.7780876184872,13.6927621767642,10
"SpazioGames","critic",0.529107961829115,0.558139071410022,1.33326373977161,7.5,13.0170050839663,11.2621794465424,1175
"Xbox World 360 Magazine UK","critic",0.528938392364769,0.562790599195038,2.12925398782362,6.75,12.9480123712091,11.3770644089274,792
"XGN","critic",0.528651923674524,0.548136461712198,1.51960070068125,7.5,13.1421679654829,11.4613479196609,1106
"hapyrvwtime","user",0.528489786606511,0.501419903091093,1.23091490979333,9,12.3013873707787,11.1145054815887,12
"Vandal Online","critic",0.52820407878416,0.543307884984309,1.33714881641477,8,13.038983942376,11.2943464801536,1492
"solutions10","user",0.52726724966483,-0.297094057130319,4.15799096787005,10,12.1022588092761,10.4793278476019,10
"Extreme Gamer","critic",0.527262524257804,0.546435152832487,1.28712726192635,8,13.2533933941952,11.6021718424844,953
"Moviebuffreview","user",0.527194756966249,0.617757073963939,2.5298221281347,8,15.0048763587456,13.5940227619037,10
"Xbox World Australia","critic",0.527107672587136,0.544079215722804,1.33901670926938,8,13.2878795107957,11.9564439384797,343
"DavidB.","user",0.525748366544815,0.459102422899978,1.53374735611213,9,14.0503881477819,12.0206832595938,15
"PTGamers","critic",0.525601728795197,0.536591839925984,1.57063311677963,7.5,13.5076039997587,11.4973406109313,275
"Totally360","critic",0.522161290079793,0.53916549278032,1.58797659949082,8,13.4800147686737,12.1777636005655,316
"Computer and Video Games","critic",0.522041705972469,0.510424341895585,1.28087764444508,8.05,13.9241144345997,12.4664827814973,264
"Sci-Fi-Dude1456","user",0.52026708679576,0.473788381048726,4.30116263352131,6.5,13.4150344839033,12.2255222693515,10
"TheSixthAxis","critic",0.517163617278847,0.581234445985112,1.61101560396613,8,13.3293461227078,11.5013267840589,518
"gordofredito","user",0.516921200526086,0.507539872183154,3.46940867249688,8,13.1390827383662,12.1857186407249,22
"JamesD","user",0.516621493185419,0.557966013957563,1.3025731060853,9,13.8775928199206,12.118374433121,37
"Digital Chumps","critic",0.516227907799579,0.485158595252011,1.33244945326002,8,13.0604901013436,11.3770825105751,635
"Maxi Consolas (Portugal)","critic",0.516179779307019,0.519311555689577,1.31021023842678,7.5,13.4150344839033,11.6660070020394,211
"GamesRadar","critic",0.514157044711575,0.500772697471572,1.76257818886853,7,12.6443308022626,11.0862076298889,2010
"My Gamer","critic",0.513996583437986,0.496760926837592,1.66672773636728,7.2,12.7656912906044,11.185665258861,492
